Frame,X,Y,Visibility,L,Theta
0,632.3,229.4,1,0.0,0.0
1,637.7,211.8,1,0.0,0.0
2,635.5,196.1,1,0.0,0.0
3,624.7,180.5,1,0.0,0.0
4,614.3,175.4,1,0.0,0.0
5,591.0,151.2,1,0.0,0.0
6,574.3,118.5,1,0.0,0.0
7,574.0,108.4,1,0.0,0.0
8,590.5,126.2,1,0.0,0.0
9,595.6,134.3,1,0.0,0.0
10,590.1,130.5,1,0.0,0.0
11,587.0,129.1,1,0.0,0.0
12,583.8,127.7,1,0.0,0.0
13,580.7,126.4,1,0.0,0.0
14,577.5,125.0,1,0.0,0.0
15,599.5,116.7,1,0.0,0.0
16,589.2,124.9,1,0.0,0.0
17,580.8,131.0,1,0.0,0.0
18,570.3,131.9,1,0.0,0.0
19,579.9,148.3,1,0.0,0.0
20,595.3,168.7,1,0.0,0.0
21,601.8,183.7,1,0.0,0.0
22,589.8,180.0,1,0.0,0.0
23,581.0,179.3,1,0.0,0.0
24,574.6,180.9,1,0.0,0.0
25,570.2,187.5,1,0.0,0.0
26,566.2,198.6,1,0.0,0.0
27,564.0,209.3,1,0.0,0.0
28,553.2,216.3,1,0.0,0.0
29,542.6,225.8,1,0.0,0.0
30,535.8,241.4,1,0.0,0.0
31,538.4,261.6,1,0.0,0.0
32,537.5,280.2,1,0.0,0.0
33,535.6,300.2,1,0.0,0.0
34,528.1,320.3,1,0.0,0.0
35,512.3,339.3,1,0.0,0.0
36,506.7,359.3,1,0.0,0.0
37,506.0,382.4,1,0.0,0.0
38,498.4,407.7,1,0.0,0.0
39,491.3,432.1,1,0.0,0.0
40,494.5,448.6,1,0.0,0.0
41,497.7,455.1,1,0.0,0.0
42,490.2,456.0,1,0.0,0.0
43,484.7,458.4,1,0.0,0.0
44,479.2,460.8,1,0.0,0.0
45,473.7,463.2,1,0.0,0.0
46,468.2,465.6,1,0.0,0.0
47,462.7,468.0,1,0.0,0.0
48,457.2,470.4,1,0.0,0.0
49,451.7,472.7,1,0.0,0.0
50,446.2,475.1,1,0.0,0.0
51,440.7,477.5,1,0.0,0.0
52,0.0,0.0,0,0.0,0.0
53,444.3,367.5,1,0.0,0.0
54,458.2,337.8,1,0.0,0.0
55,466.8,308.5,1,0.0,0.0
56,468.0,278.6,1,0.0,0.0
57,469.2,252.8,1,0.0,0.0
58,469.2,231.9,1,0.0,0.0
59,468.1,215.6,1,0.0,0.0
60,467.5,197.5,1,0.0,0.0
61,456.6,200.0,1,0.0,0.0
62,463.7,191.8,1,0.0,0.0
63,468.2,185.0,1,0.0,0.0
64,470.3,180.4,1,0.0,0.0
65,470.0,175.1,1,0.0,0.0
66,470.6,171.0,1,0.0,0.0
67,470.2,169.6,1,0.0,0.0
68,470.2,169.4,1,0.0,0.0
69,470.3,169.4,1,0.0,0.0
70,470.4,169.9,1,0.0,0.0
71,469.8,171.6,1,0.0,0.0
72,469.5,173.9,1,0.0,0.0
73,469.3,177.0,1,0.0,0.0
