frame,x,y,visible,interpolated,score
0,,,0,0,
1,822.2,200.9,1,0,5.536
2,828.0,186.3,1,1,0.000
3,833.7,173.0,1,0,1.070
4,839.2,161.2,1,1,0.000
5,844.6,150.0,1,1,0.000
6,850.0,139.6,1,0,6.339
7,853.3,131.7,1,0,1.521
8,838.2,136.9,1,1,0.000
9,823.1,142.2,1,1,0.000
10,808.0,147.4,1,1,0.000
11,792.9,152.7,1,1,0.000
12,777.8,157.9,1,1,0.000
13,762.7,163.1,1,1,0.000
14,747.6,168.8,1,1,0.000
15,732.4,172.8,1,0,17.782
16,718.7,173.1,1,1,0.000
17,696.0,175.6,1,0,3.464
18,670.1,186.7,1,0,13.218
19,646.8,205.1,1,0,2.870
20,631.5,225.7,1,1,0.000
21,618.4,240.1,1,0,9.067
22,602.1,247.5,1,0,2.871
23,584.4,259.7,1,0,2.718
24,562.7,283.6,1,0,-26.393
25,542.0,312.0,1,1,0.000
26,515.9,337.3,1,1,0.000
27,499.3,363.9,1,0,14.913
28,485.4,389.8,1,0,1.586
29,468.1,414.2,1,1,0.000
30,441.6,435.0,1,0,1.542
31,416.8,453.7,1,1,0.000
32,391.7,470.1,1,1,0.000
33,366.8,487.4,1,0,7.314
34,384.2,451.5,1,1,0.000
35,401.6,415.6,1,1,0.000
36,419.0,379.6,1,0,8.927
37,,,0,0,
38,485.3,317.1,1,0,7.746
39,505.6,293.5,1,1,0.000
40,526.0,272.1,1,0,3.298
41,544.6,250.9,1,0,3.884
42,564.9,235.9,1,0,0.503
43,589.0,227.5,1,1,0.000
44,601.2,217.5,1,1,0.000
45,615.6,207.5,1,1,0.000
46,630.0,197.5,1,1,0.000
47,644.5,186.5,1,1,0.000
48,658.4,180.5,1,0,1.069
49,672.0,177.7,1,0,6.841
50,674.8,171.3,1,0,9.933
51,694.5,176.5,1,0,-39.066
52,718.8,158.1,1,1,0.000
53,743.2,139.7,1,1,0.000
54,767.6,121.2,1,0,3.235
55,,,0,0,
56,707.5,176.3,1,0,1.071
57,735.0,177.5,1,0,0.506
58,742.5,200.0,1,0,0.506
59,743.7,187.5,1,1,0.000
60,745.0,175.0,1,1,0.000
61,746.2,162.5,1,1,0.000
62,747.6,149.2,1,1,0.000
63,748.4,139.1,1,0,1.052
64,748.5,133.3,1,1,0.000
65,748.1,130.6,1,1,0.000
66,748.7,126.8,1,1,0.000
67,745.2,124.1,1,0,1.023
68,738.7,124.8,1,0,3.435
69,731.4,129.1,1,1,0.000
70,727.7,132.8,1,0,1.088
71,726.5,135.2,1,0,13.131
72,725.1,138.2,1,0,16.384
73,721.9,144.2,1,0,-0.045
74,712.9,148.2,1,0,2.044
75,703.5,152.2,1,0,-0.705
76,693.5,156.5,1,1,0.000
77,694.0,170.6,1,0,3.886
78,696.2,188.5,1,0,9.755
79,695.8,206.9,1,1,0.000
80,688.3,219.9,1,1,0.000
81,681.8,236.8,1,0,8.969
82,672.3,248.1,1,0,7.780
83,660.7,260.6,1,0,0.502
84,650.1,277.3,1,0,-35.212
85,641.9,301.9,1,0,-25.519
86,639.1,326.8,1,0,12.133
87,638.0,357.0,1,0,1.124
88,633.9,380.5,1,0,-24.111
89,624.0,390.9,1,1,0.000
90,614.1,393.1,1,1,0.000
91,604.3,397.4,1,1,0.000
92,594.6,401.7,1,1,0.000
93,584.9,406.0,1,1,0.000
94,575.2,410.3,1,1,0.000
95,565.4,414.6,1,1,0.000
96,555.7,418.9,1,1,0.000
97,544.5,422.4,1,1,0.000
98,540.8,429.8,1,0,1.045
99,542.1,439.8,1,0,3.230
100,,,0,0,
101,,,0,0,
102,619.9,335.7,1,0,-33.005
103,641.8,311.7,1,0,-45.319
104,662.6,290.8,1,0,-7.443
105,682.5,273.3,1,0,-40.514
106,700.4,260.5,1,0,-59.615
107,712.1,246.5,1,1,0.000
108,724.1,239.8,1,1,0.000
109,735.2,229.0,1,0,2.750
110,740.6,221.7,1,0,2.672
111,743.8,219.2,1,0,14.898
112,749.7,219.9,1,0,-28.054
113,757.0,219.0,1,0,2.858
114,766.3,217.1,1,0,9.097
