Frame,X,Y,Visibility,L,Theta
0,0.0,0.0,0,0.0,0.0
1,0.0,0.0,0,0.0,0.0
2,0.0,0.0,0,0.0,0.0
3,0.0,0.0,0,0.0,0.0
4,923.7,462.6,1,0.0,0.0
5,938.1,458.7,1,0.0,0.0
6,952.5,454.9,1,0.0,0.0
7,0.0,0.0,0,0.0,0.0
8,0.0,0.0,0,0.0,0.0
9,0.0,0.0,0,0.0,0.0
10,0.0,0.0,0,0.0,0.0
11,742.8,283.3,1,0.0,0.0
12,726.0,272.9,1,0.0,0.0
13,707.2,262.0,1,0.0,0.0
14,684.9,250.0,1,0.0,0.0
15,663.8,237.5,1,0.0,0.0
16,645.9,230.4,1,0.0,0.0
17,636.2,226.1,1,0.0,0.0
18,628.0,224.5,1,0.0,0.0
19,612.3,222.5,1,0.0,0.0
20,599.5,222.7,1,0.0,0.0
21,586.3,222.2,1,0.0,0.0
22,574.3,221.3,1,0.0,0.0
23,570.9,217.8,1,0.0,0.0
24,558.8,226.5,1,0.0,0.0
25,556.7,207.3,1,0.0,0.0
26,550.5,193.0,1,0.0,0.0
27,540.4,182.7,1,0.0,0.0
28,528.4,178.5,1,0.0,0.0
29,518.3,175.2,1,0.0,0.0
30,513.9,165.9,1,0.0,0.0
31,508.1,156.0,1,0.0,0.0
32,502.2,145.5,1,0.0,0.0
33,497.0,138.3,1,0.0,0.0
34,492.9,135.5,1,0.0,0.0
35,489.4,135.9,1,0.0,0.0
36,485.6,135.2,1,0.0,0.0
37,482.2,135.7,1,0.0,0.0
38,479.1,138.3,1,0.0,0.0
39,477.2,141.1,1,0.0,0.0
40,478.1,144.2,1,0.0,0.0
41,478.4,142.0,1,0.0,0.0
42,487.5,137.7,1,0.0,0.0
43,495.0,137.8,1,0.0,0.0
44,494.9,149.1,1,0.0,0.0
45,485.1,158.7,1,0.0,0.0
46,481.7,161.2,1,0.0,0.0
47,481.7,169.5,1,0.0,0.0
48,492.6,182.0,1,0.0,0.0
49,504.3,195.4,1,0.0,0.0
50,506.4,205.2,1,0.0,0.0
51,506.0,221.8,1,0.0,0.0
52,513.2,241.0,1,0.0,0.0
53,520.5,263.0,1,0.0,0.0
54,521.5,285.1,1,0.0,0.0
55,523.7,310.0,1,0.0,0.0
56,525.2,338.9,1,0.0,0.0
57,527.8,367.6,1,0.0,0.0
58,531.6,396.4,1,0.0,0.0
59,535.3,430.4,1,0.0,0.0
60,537.4,457.5,1,0.0,0.0
61,539.4,469.7,1,0.0,0.0
62,541.2,471.8,1,0.0,0.0
63,543.0,476.5,1,0.0,0.0
64,544.9,481.1,1,0.0,0.0
65,546.7,485.8,1,0.0,0.0
66,0.0,0.0,0,0.0,0.0
67,594.1,407.8,1,0.0,0.0
68,615.3,374.5,1,0.0,0.0
69,629.6,341.8,1,0.0,0.0
70,633.1,301.5,1,0.0,0.0
71,639.0,280.1,1,0.0,0.0
72,644.4,263.0,1,0.0,0.0
73,661.7,254.0,1,0.0,0.0
74,680.6,247.7,1,0.0,0.0
75,692.1,235.4,1,0.0,0.0
76,698.9,220.3,1,0.0,0.0
77,706.8,211.4,1,0.0,0.0
78,714.8,206.7,1,0.0,0.0
79,0.0,0.0,0,0.0,0.0
80,0.0,0.0,0,0.0,0.0
81,0.0,0.0,0,0.0,0.0
82,0.0,0.0,0,0.0,0.0
83,0.0,0.0,0,0.0,0.0
84,0.0,0.0,0,0.0,0.0
