Frame,X,Y,Visibility,L,Theta
0,0.0,0.0,0,0.0,0.0
1,581.2,231.3,1,0.0,0.0
2,575.2,210.8,1,0.0,0.0
3,570.7,193.2,1,0.0,0.0
4,568.0,178.9,1,0.0,0.0
5,565.8,165.8,1,0.0,0.0
6,562.5,153.8,1,0.0,0.0
7,559.6,145.9,1,0.0,0.0
8,556.8,140.7,1,0.0,0.0
9,554.0,134.8,1,0.0,0.0
10,551.1,129.0,1,0.0,0.0
11,547.9,122.8,1,0.0,0.0
12,546.5,117.6,1,0.0,0.0
13,543.9,115.1,1,0.0,0.0
14,545.5,116.1,1,0.0,0.0
15,548.7,118.6,1,0.0,0.0
16,549.8,120.2,1,0.0,0.0
17,547.1,122.1,1,0.0,0.0
18,548.3,125.5,1,0.0,0.0
19,553.3,130.5,1,0.0,0.0
20,557.6,134.7,1,0.0,0.0
21,561.3,140.9,1,0.0,0.0
22,564.0,150.0,1,0.0,0.0
23,566.4,162.0,1,0.0,0.0
24,567.1,170.8,1,0.0,0.0
25,569.4,173.7,1,0.0,0.0
26,574.1,176.8,1,0.0,0.0
27,580.3,185.4,1,0.0,0.0
28,580.0,194.7,1,0.0,0.0
29,580.5,205.8,1,0.0,0.0
30,585.1,222.6,1,0.0,0.0
31,585.9,239.6,1,0.0,0.0
32,586.1,251.4,1,0.0,0.0
33,589.6,264.3,1,0.0,0.0
34,596.5,282.4,1,0.0,0.0
35,598.3,299.7,1,0.0,0.0
36,600.5,318.3,1,0.0,0.0
37,602.8,338.6,1,0.0,0.0
38,604.5,360.9,1,0.0,0.0
39,607.5,381.4,1,0.0,0.0
40,609.0,401.0,1,0.0,0.0
41,608.3,419.4,1,0.0,0.0
42,605.9,437.2,1,0.0,0.0
43,604.0,455.2,1,0.0,0.0
44,602.0,473.2,1,0.0,0.0
45,599.5,491.8,1,0.0,0.0
46,608.3,483.8,1,0.0,0.0
47,615.4,477.7,1,0.0,0.0
48,621.6,472.5,1,0.0,0.0
49,624.3,472.0,1,0.0,0.0
50,624.6,475.4,1,0.0,0.0
51,625.3,479.5,1,0.0,0.0
52,626.7,482.9,1,0.0,0.0
53,627.9,486.4,1,0.0,0.0
54,629.1,489.9,1,0.0,0.0
55,0.0,0.0,0,0.0,0.0
56,0.0,0.0,0,0.0,0.0
57,685.9,339.7,1,0.0,0.0
58,696.3,306.5,1,0.0,0.0
59,708.1,279.3,1,0.0,0.0
60,721.6,258.4,1,0.0,0.0
61,735.8,242.7,1,0.0,0.0
62,741.2,230.3,1,0.0,0.0
63,747.3,217.1,1,0.0,0.0
64,753.6,203.9,1,0.0,0.0
65,759.9,189.4,1,0.0,0.0
66,766.5,180.4,1,0.0,0.0
67,773.0,177.0,1,0.0,0.0
68,775.4,177.6,1,0.0,0.0
69,772.3,176.4,1,0.0,0.0
70,767.9,176.3,1,0.0,0.0
71,766.9,176.4,1,0.0,0.0
72,773.7,176.0,1,0.0,0.0
73,786.8,175.2,1,0.0,0.0
