frame,x,y,visible,interpolated,score
0,,,0,0,
1,,,0,0,
2,,,0,0,
3,468.5,453.1,1,0,9.706
4,458.3,448.8,1,0,3.378
5,450.0,437.5,1,0,0.526
6,493.6,489.9,1,0,-78.272
7,506.8,468.0,1,0,-197.608
8,,,0,0,
9,558.1,392.4,1,0,7.492
10,561.3,357.3,1,0,7.168
11,561.1,327.9,1,1,0.000
12,557.4,305.3,1,0,10.163
13,550.0,282.4,1,0,6.630
14,546.7,265.6,1,0,3.178
15,553.4,255.3,1,1,0.000
16,560.9,248.9,1,0,1.053
17,563.4,240.0,1,0,0.510
18,563.4,233.1,1,1,0.000
19,564.5,230.5,1,1,0.000
20,565.5,227.0,1,1,0.000
21,566.6,223.6,1,1,0.000
22,567.3,219.7,1,0,0.524
23,567.6,215.1,1,1,0.000
24,567.5,210.0,1,1,0.000
25,568.8,204.4,1,1,0.000
26,563.5,202.4,1,0,0.503
27,556.3,199.2,1,0,4.904
28,551.7,191.3,1,1,0.000
29,554.3,180.3,1,0,1.542
30,555.8,173.4,1,1,0.000
31,557.6,168.7,1,1,0.000
32,559.3,163.5,1,1,0.000
33,561.1,158.2,1,1,0.000
34,562.8,153.0,1,1,0.000
35,563.4,147.5,1,1,0.000
36,568.6,143.0,1,0,1.034
37,580.1,139.9,1,1,0.000
38,596.4,136.9,1,1,0.000
39,610.9,137.3,1,0,3.313
40,624.4,142.7,1,1,0.000
41,637.2,151.8,1,1,0.000
42,649.7,159.7,1,0,7.218
43,661.5,167.7,1,0,3.202
44,672.4,175.3,1,1,0.000
45,685.3,186.0,1,0,9.870
46,699.4,201.0,1,0,6.276
47,714.9,219.9,1,1,0.000
48,723.0,236.5,1,0,2.170
49,732.3,248.9,1,0,5.933
50,742.7,264.4,1,0,2.656
51,758.3,288.9,1,0,-30.027
52,772.0,319.9,1,1,0.000
53,787.4,351.0,1,1,0.000
54,808.0,381.8,1,0,2.675
55,830.1,404.9,1,0,1.088
56,849.9,418.2,1,1,0.000
57,863.6,425.9,1,1,0.000
58,878.5,435.0,1,1,0.000
59,893.4,444.2,1,1,0.000
60,908.3,453.4,1,1,0.000
61,923.3,462.6,1,0,3.918
62,937.9,458.2,1,1,0.000
63,952.5,453.7,1,0,1.050
64,,,0,0,
65,,,0,0,
66,,,0,0,
67,,,0,0,
68,742.7,283.6,1,0,-65.493
69,725.4,271.6,1,0,-35.672
70,706.8,260.8,1,1,0.000
71,685.1,250.5,1,0,9.712
72,667.1,242.7,1,1,0.000
73,649.8,236.4,1,1,0.000
74,638.5,229.4,1,0,9.838
75,628.3,224.6,1,0,1.062
76,612.8,222.5,1,1,0.000
77,599.0,222.0,1,0,3.845
78,585.9,221.5,1,0,3.877
79,574.6,221.1,1,0,1.047
80,570.9,217.8,1,0,-54.108
81,557.9,224.7,1,0,-46.051
82,556.3,206.4,1,1,0.000
83,550.4,192.7,1,1,0.000
84,540.5,182.8,1,0,7.109
85,528.4,178.6,1,0,3.370
86,518.4,175.1,1,0,13.309
87,514.5,165.9,1,1,0.000
88,509.4,155.8,1,1,0.000
89,504.0,145.2,1,1,0.000
90,500.2,138.3,1,0,3.716
91,496.4,136.5,1,0,0.508
92,491.1,136.5,1,1,0.000
93,484.7,139.4,1,0,2.642
94,482.2,134.2,1,0,4.554
95,479.6,137.8,1,1,0.000
96,477.9,141.0,1,0,1.068
97,477.2,143.8,1,1,0.000
98,477.6,146.2,1,0,1.068
99,502.3,133.4,1,0,4.908
100,496.6,141.0,1,0,5.385
101,492.6,149.4,1,1,0.000
102,487.0,160.0,1,0,2.651
103,491.1,167.3,1,1,0.000
104,501.8,172.0,1,1,0.000
105,509.0,180.2,1,0,10.203
106,510.5,192.4,1,0,5.020
107,504.8,207.0,1,1,0.000
108,506.2,222.3,1,0,8.947
109,513.3,241.2,1,0,3.219
110,520.4,262.8,1,1,0.000
111,521.3,285.0,1,0,11.565
112,523.7,310.2,1,0,7.726
113,525.5,339.1,1,1,0.000
114,528.0,369.1,1,0,5.091
115,531.5,392.7,1,0,3.755
116,534.9,409.5,1,1,0.000
117,537.3,422.8,1,1,0.000
118,539.8,437.1,1,1,0.000
119,542.4,451.4,1,1,0.000
120,545.3,466.7,1,1,0.000
121,546.5,477.1,1,0,0.542
122,546.6,484.4,1,0,5.095
123,,,0,0,
124,594.0,407.8,1,0,-76.191
125,615.1,375.3,1,0,-57.248
126,629.5,342.6,1,0,-119.647
127,633.2,300.9,1,0,-143.076
128,639.1,278.5,1,0,-57.137
129,644.8,261.9,1,0,-28.059
130,661.7,253.8,1,1,0.000
131,680.9,247.0,1,0,0.543
132,693.2,235.0,1,0,0.514
133,701.6,221.9,1,1,0.000
134,709.5,215.2,1,0,3.736
135,716.4,211.3,1,1,0.000
136,722.5,210.1,1,1,0.000
137,728.9,208.2,1,1,0.000
138,734.7,206.3,1,0,3.274
139,739.8,204.4,1,1,0.000
140,744.2,202.6,1,1,0.000
141,748.8,200.7,1,1,0.000
142,753.5,200.6,1,1,0.000
143,759.9,192.3,1,0,2.685
144,754.4,179.3,1,0,4.838
145,754.0,170.3,1,0,0.507
146,757.4,169.0,1,0,-69.633
147,765.2,164.7,1,1,0.000
148,760.6,157.2,1,1,0.000
149,758.3,150.4,1,1,0.000
150,755.9,143.6,1,1,0.000
151,752.6,136.4,1,1,0.000
152,753.1,130.9,1,0,1.027
153,759.0,127.9,1,1,0.000
154,772.1,125.6,1,1,0.000
155,769.3,127.6,1,0,0.509
156,753.8,133.7,1,0,5.504
157,733.7,141.4,1,1,0.000
158,723.3,145.7,1,1,0.000
159,710.3,152.0,1,0,11.349
160,695.6,160.4,1,1,0.000
161,679.4,169.6,1,1,0.000
162,664.0,181.3,1,0,10.896
163,652.5,195.5,1,0,1.517
164,646.0,210.8,1,1,0.000
165,638.4,223.6,1,0,2.642
166,625.3,233.3,1,1,0.000
167,612.2,251.3,1,0,1.045
168,597.0,275.8,1,0,13.701
169,580.3,305.1,1,0,0.502
170,563.0,332.2,1,1,0.000
171,550.8,363.7,1,0,11.109
172,538.5,394.8,1,1,0.000
173,526.9,428.3,1,1,0.000
174,514.8,453.2,1,0,0.515
175,502.1,466.1,1,1,0.000
176,489.0,470.5,1,1,0.000
177,476.0,477.0,1,1,0.000
178,463.0,483.5,1,1,0.000
179,450.0,490.0,1,0,0.541
180,459.4,467.5,1,0,6.957
181,,,0,0,
182,,,0,0,
183,552.7,351.1,1,0,-8.230
184,568.6,322.6,1,0,-19.089
185,584.2,298.3,1,0,-11.112
186,597.7,278.4,1,1,0.000
187,616.0,261.5,1,1,0.000
188,633.0,247.0,1,0,3.798
189,651.0,237.4,1,1,0.000
190,659.7,229.4,1,0,5.063
191,667.3,221.3,1,0,2.149
192,678.9,216.2,1,0,1.540
193,690.2,215.1,1,0,-33.430
